Name,Longitude,Latitude,Elevation,Icon
Vernon,-88.217,42.909,,images/icon-1.png
Pine Lake,-90.1491,46.2502,,images/icon-1.png
Casa Grande,-111.6381,32.8346,1477',images/icon-1.png
Baraboo,-89.6539,43.4305,1530',images/icon-1.png
Paradise,-90.583,44.1154,1351',images/icon-1.png
Rose Hill,-91.0032,44.3094,1200',images/icon-1.png
Rudolph,-89.7831,44.4813,1120',images/icon-1.png
Strum,-91.3803,44.5297,1100',images/icon-1.png
Columbus,-89.1092,43.3155,1006',images/icon-1.png
Fox Lake 2,-88.9055,43.5467,915',images/icon-1.png
Mableton,-84.526,33.7606,918',images/icon-1.png
Benson,-89.1232,40.8818,753',images/icon-1.png
Elliott,-88.292,40.4433,802',images/icon-1.png
Glendale Heights,-88.097,41.9061,786',images/icon-1.png
Hawthorn Woods,-88.0618,42.2382,863',images/icon-1.png
Macon,-88.9735,39.6982,707',images/icon-1.png
Paxton,-88.1793,40.488,790',images/icon-1.png
Wilsall,-110.6644,46.1226,5914',images/icon-1.png
McClellan Peak,-119.7089,39.2595,7388',images/icon-1.png
Lead Mtn,-112.4796,41.2563,5250',images/icon-1.png
Coloma,-89.5689,44.021,1194',images/icon-1.png
Portage,-89.5247,43.4805,1233',images/icon-1.png
Sharon,-88.7378,42.5053,977',images/icon-1.png
McGill Lakes,-105.7162,41.8141,7160',images/icon-1.png
Collins,-93.241,41.8797,1064',images/icon-1.png
Alden,-88.5516,42.4926,1178',images/icon-1.png
Alpha,-90.3407,41.2386,795',images/icon-1.png
Braidwood,-88.1868,41.2325,590',images/icon-1.png
Buda,-89.6446,41.3179,841',images/icon-1.png
Hartland,-88.4807,42.4114,1002',images/icon-1.png
Lee,-88.9231,41.8445,992',images/icon-1.png
Manteno,-87.9735,41.2553,670',images/icon-1.png
Mendota,-89.1557,41.4976,719',images/icon-1.png
Newark,-88.5292,41.5514,740',images/icon-1.png
New Windsor,-90.4178,41.1961,796',images/icon-1.png
Princeton,-89.5148,41.3459,643',images/icon-1.png
Sublette,-89.2757,41.659,928',images/icon-1.png
Tampico,-89.8367,41.6098,685',images/icon-1.png
Verona,-88.4906,41.1853,628',images/icon-1.png
Rocky Point,-114.569,41.1217,8250',images/icon-1.png
Martin,-83.2894,41.6029,583',images/icon-1.png
Wauseon,-84.1527,41.5372,772',images/icon-1.png
Fisk,-88.6434,43.9502,906',images/icon-1.png
Graham Corners,-88.1598,43.738,1122',images/icon-1.png
Lark,-87.9463,44.3437,955',images/icon-1.png
Medford,-90.2101,45.1447,1533',images/icon-1.png
Oconto Falls,-88.1609,44.8572,760',images/icon-1.png
Monee,-87.7676,41.4131,825',images/icon-1.png
Bellinger,-90.8068,45.0747,1307',images/icon-1.png
Madison,-89.4769,43.0524,1060',images/icon-1.png
Menomonee Falls,-88.1196,43.1183,873',images/icon-1.png
Rib Hill,-89.6799,44.9201,1735',images/icon-1.png
Davenport,-90.6735,41.5009,750',images/icon-1.png
Delafield,-88.4221,43.0474,1004',images/icon-1.png
Elkhorn,-88.5296,42.6627,980',images/icon-1.png
Fox Lake,-88.8255,43.5941,1016',images/icon-1.png
Center St.,-87.9817,43.0677,752',images/icon-1.png
Racine / Mt. Pleasant,-87.8476,42.6696,680',images/icon-1.png
St. Francis,-87.8789,42.9765,661',images/icon-1.png
New Berlin,-88.164,42.9413,1036',images/icon-1.png
